name,value
AB_Anforderung_eCall,keine_Anforderung
BCM_Bremsbelag_Sensor,OK
BCM_Bremsbelag_Sensor_CND,OK
BCM_Bremsbelag_Sensor_NAR,OK
BCM_Bremsbelag_Sensor_Rdw,OK
BCM_Kuehlmittel_Sensor,OK
BMS_DC_Ladeprofil_Wechsel,keinWechselMoeglich
BMS_DC_Ladeschuetze_Ist,Init
BMS_IsoFehler,IsoFehler_Schwelle_2
BMS_IsoFehler,IWU_defekt
BMS_IsoFehler,kein_IsoFehler
BMS_Ladezustand,33.25
BMS_Ladezustand,62.45
BMS_Ladezustand,44.4
BMS_Ladezustand,58.5
BMS_Ladezustand,70.6
BMS_Ladezustand,58.9
BMS_Ladezustand,69.9
BMS_Ladezustand,38.65
BMS_Ladezustand,65.4
BMS_Ladezustand,37.05
BMS_Ladezustand,41.35
BMS_Ladezustand,70.2
BMS_Ladezustand,61.4
BMS_Ladezustand,65.2
BMS_Ladezustand,52.8
BMS_Ladezustand,62
BMS_Ladezustand,68
BMS_Ladezustand,65.1
BMS_Ladezustand,67.95
BMS_Ladezustand,42.25
BMS_Ladezustand,56.05
BMS_Ladezustand,50.25
BMS_Ladezustand,37.4
BMS_Ladezustand,72
BMS_Ladezustand,62.1
BMS_Ladezustand,75.05
BMS_Ladezustand,67.15
BMS_Ladezustand,58.3
BMS_Ladezustand,74.1
BMS_Ladezustand,53.95
BMS_Ladezustand,67.55
BMS_Ladezustand,51.3
BMS_Ladezustand,36.3
BMS_Ladezustand,61.55
BMS_Ladezustand,74.75
BMS_Ladezustand,35.5
BMS_Ladezustand,61.8
BMS_Ladezustand,64.25
BMS_Ladezustand,71.45
BMS_Ladezustand,67.45
BMS_Ladezustand,51.65
BMS_Ladezustand,38.95
BMS_Ladezustand,60.25
BMS_Ladezustand,56.3
BMS_Ladezustand,59.3
BMS_Ladezustand,65.6
BMS_Ladezustand,64.95
BMS_Ladezustand,60.8
BMS_Ladezustand,57.8
BMS_Ladezustand,74.3
BMS_Ladezustand,61.45
BMS_Ladezustand,34.3
BMS_Ladezustand,51.6
BMS_Ladezustand,34.45
BMS_Ladezustand,37.25
BMS_Ladezustand,72.7
BMS_Ladezustand,39.6
BMS_Ladezustand,63.9
BMS_Ladezustand,72.35
BMS_Ladezustand,58.6
BMS_Ladezustand,59.4
BMS_Ladezustand,55.75
BMS_Ladezustand,56.85
BMS_Ladezustand,41.55
BMS_Ladezustand,56.6
BMS_Ladezustand,65.55
BMS_Ladezustand,61.2
BMS_Ladezustand,57.5
BMS_Ladezustand,49.7
BMS_Ladezustand,67.2
BMS_Ladezustand,74.5
BMS_Ladezustand,68.05
BMS_Ladezustand,60.95
BMS_Ladezustand,41.8
BMS_Ladezustand,71.9
BMS_Ladezustand,63.85
BMS_Ladezustand,62.9
BMS_Ladezustand,74.95
BMS_Ladezustand,61.7
BMS_Ladezustand,58.25
BMS_Ladezustand,43.8
BMS_Ladezustand,68.5
BMS_Ladezustand,50.6
BMS_Ladezustand,69.85
BMS_Ladezustand,74.45
BMS_Ladezustand,73.45
BMS_Ladezustand,41.9
BMS_Ladezustand,50.55
BMS_Ladezustand,69.75
BMS_Ladezustand,68.25
BMS_Ladezustand,56.75
BMS_Ladezustand,34
BMS_Ladezustand,64.7
BMS_Ladezustand,64.65
BMS_Ladezustand,54.45
BMS_Ladezustand,71.3
BMS_Ladezustand,65.35
BMS_Ladezustand,55.7
BMS_Ladezustand,74.05
BMS_Ladezustand,39.45
BMS_Ladezustand,71.5
BMS_Ladezustand,73.35
BMS_Ladezustand,43.7
BMS_Ladezustand,70.85
BMS_Ladezustand,38.6
BMS_Ladezustand,49.15
BMS_Ladezustand,58.7
BMS_Ladezustand,59.5
BMS_Ladezustand,60.65
BMS_Ladezustand,40.9
BMS_Ladezustand,60.6
BMS_Ladezustand,57.45
BMS_Ladezustand,70.05
BMS_Ladezustand,63.1
BMS_Ladezustand,69.35
BMS_Ladezustand,61.65
BMS_Ladezustand,53.85
BMS_Ladezustand,73.05
BMS_Ladezustand,41.05
BMS_Ladezustand,64.55
BMS_Ladezustand,50.5
BMS_Ladezustand,37.1
BMS_Ladezustand,39.55
BMS_Ladezustand,52.75
BMS_Ladezustand,62.65
BMS_Ladezustand,55.85
BMS_Ladezustand,43.25
BMS_Ladezustand,44
BMS_Ladezustand,57.75
BMS_Ladezustand,36.05
BMS_Ladezustand,74.15
BMS_Ladezustand,73
BMS_Ladezustand,59.1
BMS_Ladezustand,51.8
BMS_Ladezustand,55.65
BMS_Ladezustand,72.6
BMS_Ladezustand,44.25
BMS_Ladezustand,33.35
BMS_Ladezustand,39.5
BMS_Ladezustand,63.8
BMS_Ladezustand,57.85
BMS_Ladezustand,38.55
BMS_Ladezustand,49.35
BMS_Ladezustand,62.35
BMS_Ladezustand,72.1
BMS_Ladezustand,74.9
BMS_Ladezustand,41.85
BMS_Ladezustand,55.25
BMS_Ladezustand,52.1
BMS_Ladezustand,54.75
BMS_Ladezustand,66.3
BMS_Ladezustand,49.6
BMS_Ladezustand,33.45
BMS_Ladezustand,72.4
BMS_Ladezustand,57.05
BMS_Ladezustand,51.4
BMS_Ladezustand,52.95
BMS_Ladezustand,56.45
BMS_Ladezustand,66.6
BMS_Ladezustand,34.5
BMS_Ladezustand,50.65
BMS_Ladezustand,64.4
BMS_Ladezustand,70.75
BMS_Ladezustand,67.75
BMS_Ladezustand,65.65
BMS_Ladezustand,64.85
BMS_Ladezustand,56.2
BMS_Ladezustand,69
BMS_Ladezustand,54.8
BMS_Ladezustand,35.75
BMS_Ladezustand,69.5
BMS_Ladezustand,57.7
BMS_Ladezustand,49.4
BMS_Ladezustand,55.8
BMS_Ladezustand,73.8
BMS_Ladezustand,59.15
BMS_Ladezustand,56.95
BMS_Ladezustand,52.05
BMS_Ladezustand,60.1
BMS_Ladezustand,69.4
